parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
b,"[""seconda lettera dell'alfabeto italiano e latino che rappresenta la consonante esplosiva bilabiale sonora, di grado tenue o medio e, nella grafia doppia, di grado forte, il cui nome è bi; può essere di genere tanto maschile quanto femminile; ma è preferibile il femminile, sottintendendo la parola lettera; in italiano non può mai essere preceduta dalla consonante n che, in tutti i casi, si sostituisce con la m b minuscola | B maiuscola | un b maiuscolo | una b scritta col gesso"", ""specialmente maiuscola, in funzione di aggettivo numerale indica il secondo elemento di una serie o di una graduatoria ordinata mediante lettere dell'alfabeto classe IV sezione B | sezione B | scala B"", 'PER ESTENSIONE  --  nel linguaggio comune o figurato indica il livello immediatamente inferiore a quello massimo ed è simbolo di qualità inferiore o di importanza secondaria campionato di serie B | un film di serie B | uova di categoria B | cittadini di serie B', 'nella compitazione specialmente telefonica italiana viene identificata dalla parola Bologna, mentre nel codice alfabetico internazionale viene identificata dalla parola bravo', 'ECCLESIASTICO  --  abbreviazione di beato', 'GEOGRAFIA 1  --  abbreviazione di baia', 'MUSICA  --  negli spartiti musicali: abbreviazione di basso', 'GIOCHI  --  negli scacchi: abbreviazione di bianco', 'abbreviazione di un nome proprio di persona che inizia con la lettera B B. Croce | B. Franklin | B. Cellini', ""LINGUISTICA  --  nell'Alfabeto Fonetico Internazionale, indica la consonante bilabiale esplosiva sonora /b/"", 'METROLOGIA  --  simbolo del barn', 'FISICA  --  simbolo del bar, unità di misura della pressione', 'FISICA  --  simbolo di bottom', 'GEOMETRIA  --  simbolo della base di una figura piana o solida; si può anche usare la maiuscola per distinguere la base minore dalla base maggiore', 'CHIMICA  --  simbolo del boro', 'METROLOGIA TELECOMUNICAZIONI  --   simbolo del baud, unità di misura del flusso di informazione', 'FISICA  --  simbolo del bel, unità di misura di potenza elettrica o sonora', ""FISICA  --  simbolo dell'induzione magnetica"", 'ELETTRICITÀ  --  simbolo della suscettanza', 'ELETTRICITÀ  --  simbolo di banda di frequenza', 'METEOROLOGIA  --  simbolo di bassa pressione', 'BIOLOGIA MEDICINA  --   simbolo di uno dei gruppi sanguigni del sistema AB0', 'ASTRONOMIA  --  classe spettrale di stelle di grande splendore assoluto', ""MUSICA  --  nell'antica notazione per mezzo di lettere alfabetiche, corrisponde alla nota musicale si naturale; ancor oggi è il nome del si nei paesi di lingua inglese, del si bemolle in quelli di lingua tedesca"", 'nelle targhe automobilistiche e negli usi burocratici: Belgio']",['b'],b, /ˈbi/,"['sostantivo maschile e femminile', 'abbreviazione', 'abbreviazione', 'simbolo', 'simbolo', 'sigla']","['vitamine del complesso o del gruppo B', 'gruppo sanguigno B', 'patente B', 'serie B', 'di serie B']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=b100
baba,"[""GASTRONOMIA  --  dolce tipico napoletano di pasta molto soffice, lievitata, intrisa di rum o di brandy quand'è ancora calda, a forma di piccolo cilindro ingrossato a una estremità, come il tappo usato per lo champagne, oppure anche a ciambella, fatto con farina bianca e lievito di birra, uova, zucchero e uva passolina"", ""FIGURATO REGIONALE  --   nell'uso napoletano: cosa o persona particolarmente gradevole, deliziosa, squisita, adorabile quella ragazza è un babà!""]","['ba', 'ba']",babà, /baˈba/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=baba100
babau,['mostro immaginario che si nomina ai bambini per spaurirli'],"['ba', 'bau']",babàu, /baˈbaw/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=babau100
babbeo,"['sciocco, credulone, semplicione, buono a nulla sei un gran babbeo! | si sa che i babbei non hanno memoria [Sciascia]']","['bab', 'be', 'o']",babbèo, /babˈbɛo/,['aggettivo e sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=babbeo100
babbo,['famigliare padre'],"['bab', 'bo']",bàbbo, /ˈbabbo/,['sostantivo maschile'],['figlio di fava e babbo di lino'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=babbo100
babbomorto,"[""REGIONALE  --  nell'uso toscano, debito contratto da un figlio e pagabile alla morte del padre con l'eredità""]","['bab', 'bo', 'mor', 'to']",babbomòrto, /babboˈmɔrto/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=babbomorto100
babbuccia,"['calzatura turca dal calcagno alto', 'scarpetta da casa di stoffa o pelle morbida']","['bab', 'buc', 'cia']",babbùccia, /babˈbutʧa/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=babbuccia100
babbuino,"['ZOOLOGIA  --  scimmia africana addomesticabile, con muso canino, pelame verdognolo, coda lunga, occhi cerchiati di chiaro (famiglia: Cercopitecidi)', 'in senso figurato persona sciocca']","['bab', 'bu', 'i', 'no']",babbuìno, /babbuˈino/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=babbuino100
babele,"['confusione, frastuono, disordine']","['ba', 'be', 'le']",babèle, /baˈbɛle/,['sostantivo femminile'],['torre di Babele'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=babele100
babelico,"[""RARO  --  dell'antica città di Babele torre babelica"", 'PER ESTENSIONE  --  pieno di confusione, caotico, chiassoso città babelica | che disordine babelico! | una situazione babelica | un disfatto prisma / babelico di forme e di colori [Montale]']","['ba', 'be', 'li', 'co']",babèlico, /baˈbɛliko/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=babelico100
