parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
e,"['usato per unire due parole', 'la bandiera del Milan è rossa e nera', ""usato per enfatizzare l'ultimo elemento di una lista"", 'Pane, burro e marmellata', 'usato per unire una proposizione coordinata alla sua reggente', 'Dillo una altra volta e ti spacco la faccia!']",['e'],é, /ˈe/,['congiunzione'],"['E commerciale', 'e commerciale (&)']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=e100
ebanista,['artigiano che fa lavori in ebano o in altri legni pregiati'],"['e', 'ba', 'ni', 'sta']",ebanìsta, /ebaˈnista/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebanista100
ebanisteria,"[""l'arte dell'ebanista; la sua bottega""]","['e', 'ba', 'ni', 'ste', 'ri', 'a']",ebanisterìa, /ebanisteˈria/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebanisteria100
ebanite,"['sostanza dura, nera, a base di gomma e zolfo, usata specialmente come isolante']","['e', 'ba', 'ni', 'te']",ebanìte, /ebaˈnite/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebanite100
ebano,"['BOTANICA  --  nome comune di un albero esotico e del legno pregiato, duro, di color nero, che se ne ricava']","['e', 'ba', 'no']",èbano, /ˈɛbano/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebano100
ebbe,['FAMILIARE  --  accorciativo dei ebbene'],"['eb', 'be']",ebbè, /ebˈbɛ/,['congiunzione'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebbe100
ebbene,"['dunque, orbene']","['eb', 'be', 'ne']",ebbène, /ebˈbɛne/,['congiunzione'],['ebbene sì'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebbene100
ebbrezza,"['stato di sovreccitazione prodotto da abuso di alcolici, oppure da una forte emozione']","['eb', 'brez', 'za']",ebbrézza, /ebˈbrettsa/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebbrezza100
ebbro,"['ubriaco', 'fuori di sé']","['eb', 'bro']",èbbro, /ˈɛbbro/,['aggettivo e sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebbro100
ebcdic,['Extended Binary Coded Decimal Interchange Code codice decimale esteso codificato in binario per lo scambio di dati alfanumerici'],['ebcdic'],EBCDIC," /,ɛ,bi,ʧi,diˈʧi/",['sigla'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebcdic100
ebdomadario,['pubblicazione settimanale'],"['eb', 'do', 'ma', 'da', 'rio']",ebdomadàrio, /ebdomaˈdarjo/,['aggettivo e sostantivo maschile'],['obbedenziari ebdomadari'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebdomadario100
ebefrenia,"[""forma di schizofrenia propria dell'età pubere""]","['e', 'be', 'fre', 'ni', 'a']",ebefrenìa, /ebefreˈnia/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebefrenia100
ebenacea,"['BOTANICA  --  ogni pianta della famiglia delle Ebenacee', ""BOTANICA  --  (con iniziale maiuscola) famiglia di piante tropicali dell'ordine delle Ebenali, cui appartiene l'ebano""]","['e', 'be', 'na', 'ce', 'a']",ebenàcea, /ebeˈnaʧea/,"['sostantivo femminile', 'sostantivo femminile plurale']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebenacea100
ebenale,"[""BOTANICA  --  ogni pianta dell'ordine delle Ebenali"", 'BOTANICA  --  (con iniziale maiuscola) ordine di piante tropicali legnose di grandi dimensioni della classe delle Dicotiledoni, dai fiori tetrameri o pentameri, di solito ermafroditi, con corolla regolare e frutto polposo']","['e', 'be', 'na', 'le']",ebenàle, /ebeˈnale/,"['sostantivo femminile', 'sostantivo maschile plurale']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebenale100
ebetaggine,"['RARO  --  condizione di chi è ebete; stupidaggine, imbecillità', 'RARO  --  azione, espressione, comportamento da ebete; sciocchezza']","['e', 'be', 'tag', 'gi', 'ne']",ebetàggine, /ebeˈtadʤine/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebetaggine100
ebete,"['inebetito, tonto, imbecille']","['e', 'be', 'te']",èbete, /ˈɛbete/,['agg. e s. maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebete100
ebetismo,"['PSICOLOGIA  --  lo stesso, ma meno comune, che ebetudine']","['e', 'be', 'ti', 'smo']",ebetìsmo, /ebeˈtizmo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ebetismo100
