parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
g,"[""settima lettera dell'alfabeto il cui nome esteso è gi o, anticamente, ge, nell'ortografia italiana rappresenta due suoni consonantici distinti: l'occlusiva velare sonora /g/, detta g dura gutturale o velare, e l'affricata palatale sonora /ʤ/, detta g dolce o palatale; il suono/g/ si ha quando la g si trova davanti alle vocali a, o, u ago | agro | fungo | gallo | gatto | goccia | golfo | gufo | gusto | lago | magma | mago | pagare | ragù | reggo | sugo | targa | tingo, davanti ad altra consonante escluse la n e la l+i agglutinante | aggredire | glabro | gleba | gloria | glossa | gluteo | glutine | grosso | gruppo | pigro | regredire | trasgredire, davanti alla h seguita dalle vocali e, i agghiacciare | fughe | ghepardo | ghiro | ghisa | righe | rughe, e in fine di parola zig zag; il suono /ʤ/ si ha quando la g si trova davanti alle vocali e, i adagio | agente | aggiunta | agile | agiografia | angelo | gelo | gente | già | gianduia | gioco | giorno | giro | giulivo | giusto | igiene | ingiustizia | oggetto | reggere | reggia | sorgente | spingere | vagito; entra come componente nel digramma gn che rappresenta sempre il suono della nasale palatale /ɲɲ/ Agnese | agnostico | bagno | gnocco | ignudo | lagna | pugna | regnare | stagno; in alcune nomi stranieri, per lo più di origine tedesca, si pronuncia gn con la g dura Wagner entra nel trigramma gli che corrisponde al suono della laterale palatale /λλ/ aglio | biglia | figlio | foglia | giacca | giglio | giovane | gli | giù | maglia | miglia | moglie | paglia | pagliuzza | raglio, tranne in alcune parole di origine greca o latina in cui conserva il suono /gl/ anche davanti a i anaglifo | anglicano | anglista | ganglio | geroglifico | glicerina | glicine | negligenza | negligere"", 'nel codice alfabetico internazionale, la lettera g viene convenzionalmente identificata dal nome golf', 'nella compitazione telefonica, la lettera g viene convenzionalmente identificata dalla città di Genova G come Genova', ""(specialmente maiuscola) in funzione di aggettivo numerale indica il settimo elemento o livello di una serie ordinata mediante lettere dell'alfabeto classe II sezione G | serie G | turno G | sezione G | categoria G"", ""MUSICA  --  nell'antica notazione per mezzo di lettere alfabetiche, ancora in uso nei paesi anglosassoni e germanici, indica il sol"", 'MUSICA  --  nella notazione musicale medievale indicava il si']",['g'],g, /ˈʤi/,['sostantivo maschile e femminile'],['punto G'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=g100
gabardina,['RARO  --  lo stesso che gabardine'],"['ga', 'bar', 'di', 'na']",gabardìna, /gabarˈdina/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabardina100
gabardine,"['francese stoffa di lana o cotone a tessuto diagonale', 'francese impermeabile confezionato con questa stoffa']","['ga', 'bar', 'di', 'ne']",gabardine," /ˈgabardin/, /gabarˈdin/",['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabardine100
gabarra,"['MARINERIA ARCAICO MARINERIA  --    barca o pontone, a remi o a vela, dal fondo piatto, utilizzata per il carico e lo scarico dei bastimenti nei porti; oggi è comunemente detta chiatta, pontone, bettolina']","['ga', 'bar', 'ra']",gabàrra, /gaˈbarra/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabarra100
gabbacristiani,"['RARO  --  chi inganna il prossimo; imbroglione, truffatore, impostore']","['gab', 'ba', 'cri', 'stia', 'ni']",gabbacristiàni," /,gabbakrisˈtjani/",['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabbacristiani100
gabbamondo,"['chi vive alle spalle del prossimo imbrogliandolo; truffatore, imbroglione']","['gab', 'ba', 'mon', 'do']",gabbamóndo," /,gabbaˈmondo/",['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabbamondo100
gabbana,"['ABBIGLIAMENTO  --  soprabito largo e lungo, ampio mantello aperto sul davanti, senza cintura, spesso con cappuccio e talvolta foderato di pelliccia, usato in passato specialmente in viaggio; lo stesso che gabbano', 'ABBIGLIAMENTO  --  veste da lavoro di stoffa pesante, talvolta impermeabile, usata da operai, marinai, pescatori e contadini; cerata']","['gab', 'ba', 'na']",gabbàna, /gabˈbana/,['sostantivo femminile'],"['voltare, cambiare, mutare gabbana']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabbana100
gabbanella,['camice bianco che medici e infermieri indossano negli ospedali'],"['gab', 'ba', 'nel', 'la']",gabbanèlla, /gabbaˈnɛlla/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabbanella100
gabbano,"['soprabito largo e lungo, talora foderato di pelliccia', 'sorta di veste da lavoro, di taglio diritto, usata da contadini e operai']","['gab', 'ba', 'no']",gabbàno, /gabˈbano/,['sostantivo maschile'],"[""l'acqua di maggio inganna il villano, par che non piova e si bagna il gabbano""]",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabbano100
gabbare,"['prendersi gioco di qualcuno; ingannare', 'prendersi gioco, burlarsi']","['gab', 'ba', 're']",gabbàre, /gabˈbare/,"['verbo transitivo e intransitivo', 'verbo pronominale intransitivo']","['gabbare san Martino', ""se se n'avvede me l'abbo, se non se n'avvede me la gabbo""]",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabbare100
gabbasanti,"[""gabbamondo, imbroglione molto scaltro, chi è molto abile nell'ingannare e raggirare il prossimo""]","['gab', 'ba', 'san', 'ti']",gabbasànti," /,gabbaˈsanti/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabbasanti100
gabbata,"['ARCAICO  --  inganno, raggiro, beffa']","['gab', 'ba', 'ta']",gabbàta, /gabˈbata/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabbata100
gabbato,['participio passato di gabbare nei significati del verbo'],"['gab', 'ba', 'to']",gabbàto, /gabˈbato/,['participio passato e aggettivo'],"['gabbato è sempre, quel che più si fida', 'passata la festa, gabbato lo santo', 'scampato il pericolo, gabbato il santo']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabbato100
gabbatore,"['RARO  --  imbroglione, ingannatore, truffatore']","['gab', 'ba', 'to', 're']",gabbatóre, /gabbaˈtore/,['aggettivo e sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabbatore100
gabbeo,"[""REGIONALE  --  nell'uso toscano: nelle saline, tavola su cui si pone il sale a scolare e ad asciugare""]","['gab', 'be', 'o']",gabbèo, /gabˈbɛo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabbeo100
gabbia,"['sorta di cassetta, con le pareti formate da sbarre, in cui si rinchiudono animali vivi, specialmente uccelli; recinto con grosse sbarre di ferro per animali feroci', 'in senso figurato prigione', 'involucro o recipiente a forma di gabbia', ""MARINERIA  --  nei velieri a vele quadre, la seconda vela, a cominciare dal basso, dell'albero di maestra""]","['gab', 'bia']",gàbbia, /ˈgabbja/,['sostantivo femminile'],"['gabbia faradica', 'uccel di gabbia', 'è meglio essere uccel di bosco, che uccel di gabbia', 'il merlo ingrassa in gabbia, il leone muore di rabbia', ""la bella gabbia non nutrisce l'uccello"", ""l'uccello in gabbia è come un uom sposato"", 'meglio un fringuello in gabbia che un tordo in frasca', 'merlo ingrassa in gabbia, il leone muore di rabbia', 'poeti, pittori, strologi e musici fanno una gabbia di matti', 'uccello in gabbia non canta per amor, canta per rabbia', 'uomo ammogliato, uccello in gabbia']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabbia100
gabbiano,"['ZOOLOGIA  --  uccello acquatico dal corpo affusolato, con grandi ali bianche bordate di nero e piedi palmati; emette un grido rauco somigliante a uno scroscio di risi (famiglia: Laridi)']","['gab', 'bia', 'no']",gabbiàno, /gabˈbjano/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabbiano100
gabbiere,['MARINERIA  --  marinaio specializzato nel maneggio delle vele'],"['gab', 'bie', 're']",gabbière, /gabˈbjɛre/,['sostantivo maschile'],['capo gabbiere'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabbiere100
gabbietta,"['diminutivo di gabbia', 'piccola gabbia', 'ENOLOGIA  --  protezione di filo di ferro che ricopre il tappo delle bottiglie di spumante per assicurare il tappo', 'cassetta per il trasporto della frutta, costituita da assicelle di legno unite con graffe metalliche o chiodi']","['gab', 'biet', 'ta']",gabbiétta, /gabˈbjetta/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=gabbietta100
