parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
h,"[""acca, ottava lettera dell'alfabeto italiano e latino; è segno puramente grafico, con valore ortografico, privo di valore fonetico proprio ed è detta anche h muta; nel codice alfabetico internazionale e nella compitazione delle parole durante la compitazione telefonica viene identificata dalla parola hotel h come hotel"", 'con valore diacritico è prescritta nelle forme del verbo avere ho, hai, ha, hanno per distinguerle dai loro omofoni o, ai, a, anno', 'come modificatore fonetico, nei digrammi ch e gh indica la pronuncia velare di c e g davanti alle vocali e e i che | chi | chela | chiesa | chioma | chitarra | ghepardo | gheriglio | ghetto | ghiotto | ghirlanda | ghiro | alghe | borchia | targhe', ""nelle interiezioni, ha funzione sia diacritica per distinguerle dagli omofoni corrispondenti, come per esempio e ed eh, a e ah, o e oh, sia per evidenziarne la natura interiettiva ed esprime un'intonazione particolare, raramente una lieve aspirazione della vocale la precede"", 'la si riscontra in antiche grafie di nomi quali honore, hora, habitat, habitus nei digrammi ph e th come residuo etimologico e la si riscontra ancora in taluni toponimi come Rho, Ghorio, Santhià, Thiene o in alcuni cognomi come Hortis, De Matthaeis, Honorato, Pamphili, Theodoli', 'nei forestierismi, non adattati di solito perde il valore fonetico originario e non si pronuncia, ma in taluni casi può mantenere una leggera aspirazione', ""in funzione di numerale, indica l'ottavo elemento di una serie ordinata mediante lettere dell'alfabeto classe III sezione H | come già detto al punto h…"", 'MATEMATICA  --  (minuscola) specialmente posposto al nome di funzioni, abbreviazione di iperbolico senh | cosh', 'GEOMETRIA  --  (minuscola) nelle formule geometriche, abbreviazione di altezza; b * h si legge base per altezza', 'SPORT  --  (minuscola) in atletica leggera, il simbolo della corsa a ostacoli; 100 h si legge 100 metri a ostacoli', '(maiuscola) indica un nome proprio di persona che inizia con la lettera H come Hans, Henry ecc.', 'NUMISMATICA  --  (maiuscola) abbreviazione di heller', ""LINGUISTICA  --  (minuscola), nell'Alfabeto Fonetico Internazionale, indica la consonante fricativa laringale /h/, che si pronuncia restringendo la laringe con in inglese house, hint, hard, ahead o in haben, hell, huschen"", 'FISICA  --  (minuscola) nella fisica quantistica, il simbolo della costante di Planck; tagliata da un tratto trasversale (ħ) indica la costante di Planck razionalizzata, cioè divisa per 2p; ħ=h/2π', ""METROLOGIA  --  (minuscola) nella misura del tempo è il simbolo dell'ora, specialmente scritta come esponente di un numero; 6h 35m si legge sei ore, trentacinque minuti"", ""CHIMICA  --  (maiuscola) simbolo dell'idrogeno la bomba H è una bomba all'idrogeno"", ""FISICA  -- , (maiuscola) simbolo dell'intensità di un campo magnetico"", ""FISICA  --  (maiuscola) in spettroscopia, nome di una delle righe dello spettro di assorbimento dell'atmosfera solare"", ""FISICA  --  (maiuscola) in un sistema termodinamico, simbolo dell'entalpia"", ""ELETTRONICA  --  (maiuscola) simbolo dell'henry, unità di misura dell'induttanza elettrica"", 'MUSICA  --  (maiuscola) nella notazione in uso nei paesi germanici e anglosassoni, indica il si naturale', 'BIOCHIMICA  --  (maiuscola) nome di una vitamina, detta anche sebotina o vitamina antiseborroica vitamina H', ""STORIA  --  (maiuscola) nell'epigrafia romana, rappresenta il numero 200"", 'TRASPORTI  --  (maiuscola) nella segnaletica stradale, indica la vicinanza di un ospedale', '(maiuscola) nelle targhe automobilistiche e negli usi burocratici, Ungheria', ""METROLOGIA  --  (minuscola) premesso al simbolo di un'unità di misura ne moltiplica il valore per cento e corrisponde al prefisso etto– hg = ettogrammo | hl = ettolitro | hm = ettometro""]",['h'],h, /ˈakka/,"['sostantivo maschile e femminile', 'abbreviazione', 'abbreviazione', 'simbolo', 'simbolo', 'sigla', 'prefisso']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=h100
ha,"[""secondo i casi e l'intonazione della voce, esprime sentimenti o stati d'animo diversi come meraviglia, gioia, dolore, soddisfazione, sollievo, minaccia e ira ah!, sei arrivato finalmente | ah! che disgrazia | ah! ti ho preso! | ah! eccoci arrivati!"", 'per lo più ripetuta, riproduce una risata specialmente ironica o sarcastica, per esprimere irrisione non grave ma con tono leggermente risentito', 'ha ha, te lo avevo detto! | ah ah, sei finalmente tornato a Canossa! | ah! ah! parlerà ora, signor curato? Manzoni', ""METROLOGIA  --  simbolo dell'ettaro"", 'ETNOLOGIA  --  che, chi appartiene al popolo degli Ha, popolazione bantù stanziata a nord–est del Lago Tanganica', ""CHIMICA  --  simbolo dell'elemento chimico hahnio"", 'MEDICINA  --  ipoallergenico', 'MEDICINA  --  abbreviazione di emoassorbente']",['ha'],ha, /ˈha/,"['interiezione', 'simbolo', 'agg. e s. maschile e femminile', 'simbolo', 'abbreviazione']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ha100
habanera,"['VOCE SPAGNOLA  --  danza cubana binaria simile al tango, con il primo tempo della battuta fortemente accentuato']","['ha', 'ba', 'ne', 'ra']",habanera, /abaˈnera/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=habanera100
habitat,"[""BIOLOGIA VOCE LATINA  --   ambiente di vita proprio, insieme di condizioni ambientali, climatici, geologici ecc. che caratterizzano l'ambiente in cui vive un essere vivente, specialmente dal punto di vista chimico e fisico"", ""BOTANICA VOCE LATINA  --   l'area di sviluppo e diffusione di una pianta in cui questa trova le condizioni ambientali favorevoli alla sua sopravvivenza"", ""ECOLOGIA PER ESTENSIONE VOCE LATINA  --    l'insieme delle condizioni ambientali, sociali, culturali, urbanistiche, delle strutture e dei servizi che caratterizzano un insediamento umano, specialmente urbano"", 'FIGURATO VOCE LATINA  --   ambiente particolarmente adatto, congeniale e attrezzato ai propri gusti, alle proprie aspirazioni crearsi il proprio habitat | a scuola mi trovo proprio nel mio habitat']","['ha', 'bi', 'tat']",hàbitat, /ˈabitat/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=habitat100
habitue,"[""VOCE FRANCESE  --  avventore, cliente, frequentatore assiduo di un luogo, specialmente un locale pubblico gli habitués del Grand Hotel | a teatro c'erano i soliti habitués | sono un habitué di quel salotto | è un cabaret frequentato dai soliti habitués""]","['ha', 'bi', 'tue']",habitué, /abiˈtwe/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=habitue100
habitus,"[""BIOLOGIA VOCE LATINA  --   l'aspetto generale caratteristico, l'insieme dei tratti morfologici e comportamentali di una specie"", 'MEDICINA VOCE LATINA  --   lo stesso che abito, insieme di caratteristiche fisiche e fisiologiche che si manifestano esternamente in una particolare condizione patologica', 'PER ESTENSIONE RARO VOCE LATINA  --    carattere, comportamento, atteggiamento abituale']","['ha', 'bi', 'tus']",hàbitus, /ˈabitus/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=habitus100
hacienda,"[""VOCE SPAGNOLA  --  grande fattoria tipica dell'America meridionale, specialmente delle zone caratterizzate da coltura estensiva""]","['ha', 'cien', 'da']",hacienda, /aˈsjɛnda/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=hacienda100
hacker,"['INFORMATICA GERGALE  --   chi riesce a inserirsi illegalmente in un sistema di elaborazione per disturbarlo o sabotarlo, superandone le protezioni e le restrizioni di accesso', ""INFORMATICA PER ESTENSIONE  --   nell'uso comune, pirata informatico; lo stesso che cracker""]","['ha', 'cker']",hacker, /ˈaker/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=hacker100
hag,['detto di caffé: decaffeinato'],['hag'],hag, /ˈag/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=hag100
hahnio,"[""nome proposto inizialmente per l'elemento artificiale transuranico di numero atomico 105, ottenuto bombardando con nuclei di azoto un isotopo del californio; denominato anche unnilpenzio e nielsborio""]","['hah', 'nio']",hàhnio, /ˈanjo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=hahnio100
hai,"['lo stesso che ahi, esprime dolore, meraviglia, gioia, commozione']",['hai'],hài, /ˈaj/,['interiezione'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=hai100
haikai,['LETTERATURA VOCE GIAPPONESE  --   lo stesso che haiku'],"['hai', 'kai']",haikai, /ˈajkaj/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=haikai100
haitiano,"['di Haiti', 'nativo o abitante di Haiti']","['ha', 'i', 'tia', 'no']",haitiàno, /aiˈtjano/,"['aggettivo', 'sostantivo maschile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=haitiano100
