parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
j,"[""decima lettera dell'alfabeto italiano, il cui nome per esteso è i lunga o i lungo e meno comunemente iod, iota e modernamente anche jay; assente nell'alfabeto latino classico fu introdotta nel latino in epoca medievale e successivamente fu adottata da varie lingue moderne, nell'alfabeto italiano è stata di uso comune dal Seicento all'Ottocento; ora è sostituita dalla lettera I, i"", ""in passato veniva usata per indicare la I semivocalica all'inizio di parola e tra due vocali; ora è sostituita dalla lettera I, i aja | bujo | ajuola | guajo | jeri | jattanza | jena | jettatura | jodio | jonico | noja | pajo o per indicare il plurale dei nomi in -io principj | studj | ufficj | varj"", ""modernamente oggi è ancora in uso in poche parole dove ha valenza etimologica juventino, specialmente in nomi propri Jacopo | Jolanda | Jole, in alcuni toponimi Ajaccio | Jesi | Jesolo | Jonio | Jugoslavia | L'Aja o in cognomi Ajello | Jacobelli | Jacoviello | Jaja; Jovine | Ojetti | Pistoj | Rejna"", 'si trova in numerose parole straniere non adattate nelle quali mantiene per lo più il valore fonetico della lingua di origine abat–jour | jabot | jacquard | Jäger; jaleo | jambon | jardín | jazz | jeans | jogging | jung | Junker', 'nella compitazione telefonica è identificata dalla parola jolly, più raramente jersey; nel codice alfabetico internazionale è identificata dalla parola Juliett', 'specialmente maiuscola, in funzione di numerale, indica il decimo elemento di una serie ordinata alfabeticamente', '(maiuscola) indica un nome proprio di persona che inizia con la lettera J J. Robusti detto il Tintoretto | le ultime lettere di J. Ortis | J. Joyce | J. Broz | J. Martí | J. Lennon | J. Chirac | J. Fonda | J. Travolta | J. Prevert | J. Moreau | J. Kennedy', ""LINGUISTICA  --  (minuscola) nell'Alfabeto Fonetico Internazionale indica la semiconsonante palatale |j|"", 'FISICA  --  (minuscola) simbolo della densità della corrente elettrica', 'MATEMATICA  --  (minuscola) unità immaginaria', 'MATEMATICA  --  (minuscola) simbolo del determinante jacobiano', 'FISICA  --  (maiuscola) simbolo del joule', ""FISICA  --  (maiuscola) indica l'equivalente meccanico della caloria, talvolta indicato anche con la lettera A"", ""FISICA  --  (maiuscola) simbolo del momento d'inerzia"", 'GIOCHI  --  (maiuscola) nelle carte francesi è il simbolo del fante', '(maiuscola) nelle targhe automobilistiche e negli usi burocratici, Giappone']",['j'],j, /iˈlunga/,"['sostantivo maschile e femminile', 'abbreviazione', 'simbolo', 'simbolo', 'sigla']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=j100
jab,"[""(sport) nel pugilato, colpo leggero di disturbo, poco efficace, che ostacola l'avversario se ripetuto più volte di seguito; prepara il diretto""]",['jab'],jab, /ˈʤab/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=jab100
jabot,"['ABBIGLIAMENTO VOCE FRANCESE  --   ornamento di tessuto fine pieghettato o di trine, fissato al collo o applicato come guarnizione sul davanti di camicette e abiti femminili, in passato anche su camicie maschili; pettorina']","['ja', 'bot']",jabot, /ʒaˈbo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=jabot100
jack,"['GIOCHI  --  nelle carte da gioco francesi, il fante; simbolo J', ""ELETTRICITÀ  --  dispositivo di collegamento non permanente fra circuito e circuito o fra circuito e dispositivo, costituito da uno spinotto e una presa inseribili l'una nell'altra, usati specialmente per collegare cuffie, casse, alimentatori a dispositivi elettronici"", 'TELEFONIA  --  nei sistemi di commutazione manuale, in origine era così detto il foro della presa usato per inserirvi uno spinotto', ""MARINERIA  --  bandiera di bompresso innalzata sulla prora delle navi da guerra quando sono all'ancora"", ""BOTANICA  --  nome comune di due piante tropicali del genere Artocarpo (Artocarpus integrifolia) e (Artocarpus heterophyllus) della famiglia delle Moracee che producono un'infruttescenza commestibile simile a quella dell'albero del pane e il cui legno giallo bruno viene utilizzato nella fabbricazione di mobili e costruzioni e come colorante per tingere in giallo""]",['jack'],jack, /ˈʤɛk/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=jack100
jacobiano,"['MATEMATICA  --  relativo al matematico tedesco Karl Gustav Jacobi e alle sue teorie', 'MATEMATICA  --  ellissi di determinante jacobiano, il valore numerico che si attribuisce, secondo una determinata regola, a una matrice quadrata; anche, impropriamente, la matrice quadrata stessa']","['ja', 'co', 'bia', 'no']",jacobiàno, /jakoˈbjano/,"['aggettivo', 'sostantivo maschile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=jacobiano100
jacquard,"['TESSITURA VOCE FRANCESE  --   detto di meccanismo da applicare al telaio che comanda i fili di ordito nel telaio e che permette di ottenere tessuti operati con disegni geometrici multicolori; anche del telaio attrezzato con tale dispositivo e della tecnica di tessitura con questo praticata e del tessuto così prodotto telaio jacquard | tessitura jacquard | tessuto jacquard', ""TESSITURA VOCE FRANCESE  --   detto di punto a maglia, con il quale, alternando sullo stesso ferro fili di colori diversi, si ottengono disegni geometrico, mediante uno speciale dispositivo applicato alle macchine da maglieria o ai telai per tessitura; anche di tessuto o capo d'abbigliamento prodotto con questo punto maglia jacquard | golf jacquard | punto jacquard | maglione jacquard | un vivace jacquard""]","['jac', 'quard']",jacquard, /ʒaˈkar/,['aggettivo e sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=jacquard100
jacquerie,"['STORIA VOCE FRANCESE  --   nella Francia del XIV secolo, sollevazione contadina a carattere antifeudale', 'PER ESTENSIONE VOCE FRANCESE  --   qualsiasi sollevazione contadina']","['jac', 'que', 'rie']",jacquerie, /ʒakeˈri/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=jacquerie100
jaguar,['AUTOVEICOLI  --  marchio di fabbrica di alcune serie di autovetture inglesi spesso usato a volte nella pubblicistica come sinonimo di potenza e di eccellenza'],"['ja', 'guar']",jaguar, /ˈʤagwar/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=jaguar100
jahve,"['RELIGIONE VOCE EBRAICA  --   il nome di Dio secondo la tradizione ebraica, rappresentato dal tetragramma sacro יהוה']","['jah', 've']",Jahvè, /jaˈvɛ/,['nome proprio maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=jahve100
jais,['MINERALOGIA VOCE FRANCESE  --   lo stesso che giaietto'],['jais'],jais, /ˈʒɛ/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=jais100
