parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
q,"[""diciassettesima lettera dell'alfabeto, quindicesima dell'alfabeto scolastico, il cui nome esteso è cu o qu o ku, nell'ortografia italiana rappresenta il suono dell'occlusiva velare sorda /k/ e ha quindi lo stesso valore della c dura; ricorre sempre davanti ad u semiconsonantica formando il nesso labiovelare /kw/, seguito sempre da vocale diversa da u; si raddoppia solo nelle parole soqquadro, beqquadro e biqquadro; in tutti gli altri casi q rafforzato si esprime con il nesso cq attraverso il quale passa la divisione sillabica acquario | acquisire | acqua | acquietare | acquistare | alquanto | aquila | equità | inquieto | quadro | quando | quota | questione | qui | quoziente | squisito | tacque"", 'nel codice alfabetico internazionale, la lettera q viene convenzionalmente identificata dal nome Quebec', 'nella compitazione telefonica, la lettera q viene convenzionalmente identificata dalla città di Quarto Q come Quarto', ""(specialmente maiuscola) in funzione di aggettivo numerale indica il quindicesimo o il diciassettesimo elemento o livello di una serie ordinata mediante lettere dell'alfabeto classe II sezione Q | serie Q | turno Q | sezione Q. | categoria Q"", 'METROLOGIA  --  simbolo del quintale, unità di misura del peso del sistema metrico decimale, pari a 100 kg', ""METROLOGIA  --  nell'uso corrente, non però in quello scientifico e tecnico: aggiunto a una unità di misura lineare, ha lo stesso valore dell'esponente ² per le misure di superficie, cioè eleva l'unità stessa al quadrato; mq, metro quadrato, cmq, centimetro quadrato, kmq, chilometro quadrato, ecc. che però in matematica devono essere scritte correttamente m², cm², km²"", ""LINGUISTICA  --  nell'Alfabeto Fonetico Internazionale: simbolo della consonante uvulare esplosiva sorda /q/"", 'FISICA  --  simbolo della quantità di calore', 'FISICA ELETTRICITÀ  --   simbolo della quantità di elettricità o quantità di carica elettrica', 'FISICA  --  simbolo della quantità di moto', ""MATEMATICA  --  indica l'irregolarità di una superficie algebrica"", 'FISICA  --  in fisica nucleare: simbolo del quark', 'ASTRONOMIA  --  simbolo di una classe spettrale di stelle, comprendente stelle di spettro variabile, caratteristico delle novae', 'ELETTRICITÀ  --  in elettrotecnica: simbolo del fattore di qualità o di merito o di bontà induttore a basso Q | condensatore ad alto Q', 'FISICA  --  in elettrodinamica: unità di energia termica, equivalente a circa 1,055x10 joule usata per indicare la misura del consumo di energia', ""FISICA  --  in fisica nucleare: uno dei sette livelli elettronici dell'atomo"", ""MATEMATICA  --  simbolo dell'insieme dei numeri razionali"", ""nella numerazione romana, nell'uso epigrafico antico: rappresenta il numero 500"", 'abbreviazione di quota', 'ARCAICO  --  abbreviazione di quondam, che in passato era premesso al nome di un defunto, come oggi si premette fu', 'abbreviazione dei nomi propri personali che cominciano con la Q Quinto | Quintilia | Quirino | Q. Sella', 'STORIA  --  nelle iscrizioni latine: abbreviazione di Quintus, di Quaestor e della congiunzione que nella sigla S.P.Q.R. (Senatus PopulusQue Romanus)', ""GIOCHI  --  nelle carte da gioco francesi: abbreviazione dell'inglese Queen, regina, una delle tre carte figure, detta in italiano donna"", 'nelle targhe automobilistiche e in usi burocratici: Qatar']",['q'],q, /ˈku/,"['sostantivo maschile e femminile', 'simbolo', 'simbolo', 'abbreviazione', 'abbreviazione', 'abbreviazione', 'sigla']","['enzima Q', 'coenzima Q', 'febbre Q', 'codice Q']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=q100
qu,"['nome della lettera Q, q, del segno che la rappresenta e delle articolazioni foniche corrispondenti']",['qu'],qu, /ˈku/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=qu100
qua,"['in questo luogo', 'indica il luogo vicino a chi parla']",['qua'],qua, /ˈkwa/,['avverbio'],"['andare di qua e di là', 'essere più di là che di qua', 'di qua di là di su di giù', 'in qua e in là', 'di qua e di là', 'la mano! qua la mano!', 'di qua, di là, di su, di giù', ""al di qua, al di là dell'oceano"", 'da indi in qua; da indi innanzi', 'da Adamo in qua', 'sedere con una gamba di qua e una di là', 'il se e il ma son due minchioni da Adamo in qua']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=qua100
quaccherismo,"['movimento religioso protestante, fondato in Inghilterra verso la metà del secolo XVI, diffuso negli Stati Uniti, che predica il ritorno a una vita semplice e a un culto privo di cerimonie e di riti']","['quac', 'che', 'ri', 'smo']",quaccherìsmo, /kwakkeˈrizmo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=quaccherismo100
quacchero,['seguace di una setta religiosa protestante fondata in Inghilterra nel XVII secolo e diffusa anche negli Stati Uniti'],"['quac', 'che', 'ro']",quàcchero, /ˈkwakkero/,['aggettivo e sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=quacchero100
quaderna,"['quaterna, al lotto e alla tombola']","['qua', 'der', 'na']",quadèrna, /kwaˈdɛrna/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=quaderna100
quadernale,"['ARCAICO  --  quadernario', 'MARINERIA  --  lo stesso, ma raro, che quarnale']","['qua', 'der', 'na', 'le']",quadernàle, /kwaderˈnale/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=quadernale100
quadernare,['TIPOGRAFIA  --  ridurre in forma di quaderno; riunire o distribuire in quaderni'],"['qua', 'der', 'na', 're']",quadernàre, /kwaderˈnare/,['verbo transitivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=quadernare100
quadernato,['participio passato di quadernare nei significati del verbo'],"['qua', 'der', 'na', 'to']",quadernàto, /kwaderˈnato/,['participio passato e aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=quadernato100
quaderno,"['fascicolo di fogli cuciti insieme e raccolti in una copertina, usato dagli scolari o in genere per appunti, conti e simili']","['qua', 'der', 'no']",quadèrno, /kwaˈdɛrno/,['sostantivo maschile'],"['fare le orecchie ai quaderni, ai libri, ecc.']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=quaderno100
