parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
t,"[""ventesima lettera dell'alfabeto, diciottesima dell'alfabeto scolastico, il cui nome esteso è ti, nell'uso antico te, nell'ortografia italiana rappresenta la consonante esplosiva dentale sorda /t/; in alcune parole latine rimaste in uso nella lingua italiana, specialmente in toponimi e in cognomi, la t davanti a i seguita da altra vocale si pronuncia, come nel latino ecclesiastico, come una z sorda Vibo Valentia | De Fabritiis"", 'nel codice alfabetico internazionale, la lettera t viene convenzionalmente identificata dal nome tango', 'nella compitazione telefonica, la lettera t viene convenzionalmente identificata dalla città di Torino T come Torino', ""(specialmente maiuscola) in funzione di aggettivo numerale indica il ventesimo o il diciottesimo elemento o livello di una serie ordinata mediante lettere dell'alfabeto classe II sezione T | serie T | turno T | sezione T. | categoria T"", 'FIGURATO  --  Immagine o struttura che richiama la forma della t maiuscola, specialmente nella locuzione «a T» tubo a T | incrocio a T | giunto a T | disporre a T | ferro a T | profilato a T | connettore a T | trave a T | ferro a doppia T | cellule a T | squadra a T | croce a T | raccordo idraulico a T']",['t'],t, /ˈti/,['sostantivo maschile e femminile'],"['a T', 'ferro, profilato a T', 'ferro, profilato a doppio T', 'giunto a T', 'cellule a T', 'squadra a T', 'connettore a T', 'T magico', 'linfociti T', 'onda T', 'cantare, intonare il Te Deum']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=t100
t-shirt,"['ABBIGLIAMENTO VOCE INGLESE  --   maglietta di cotone, girocollo, a maniche corte e di taglio diritto, unisex, che, stesa in piano, ha la forma di una T']",['t-shirt'],T–shirt, /tiʃˈʃert/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=t-shirt100
ta,['CHIMICA  --  simbolo chimico del tantalio'],['ta'],Ta, /tiˈa/,['simbolo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ta100
tabaccaio,['chi gestisce una tabaccheria'],"['ta', 'bac', 'ca', 'io']",tabaccàio, /tabakˈkajo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabaccaio100
tabaccare,"[""RARO  -- (AVERE) fiutare abitualmente tabacco da fiuto poco innanzi aveva avuta voglia di tabaccare, e s'era accorto d'aver dimenticata a casa la tabacchiera [Bacchelli]""]","['ta', 'bac', 'ca', 're']",tabaccàre, /tabakˈkare/,['verbo intransitivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabaccare100
tabaccato,"['participio passato di tabaccare nei significati del verbo', 'imbrattato di tabacco naso tabaccato', 'RARO  --  di colore simile al tabacco una copertina tabaccata']","['ta', 'bac', 'ca', 'to']",tabaccàto, /tabakˈkato/,['participio passato e aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabaccato100
tabaccheria,['bottega in cui si vendono tabacchi e altri generi di monopolio statale'],"['ta', 'bac', 'che', 'ri', 'a']",tabaccherìa, /tabakkeˈria/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabaccheria100
tabacchicoltore,['AGRICOLTURA  --  coltivatore di tabacco'],"['ta', 'bac', 'chi', 'col', 'to', 're']",tabacchicoltóre," /ta,bakkikolˈtore/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabacchicoltore100
tabacchicoltura,['AGRICOLTURA  --  coltivazione del tabacco'],"['ta', 'bac', 'chi', 'col', 'tu', 'ra']",tabacchicoltùra," /ta,bakkikolˈtura/",['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabacchicoltura100
tabacchiera,"['scatoletta per tenervi il tabacco da fiuto', 'le diverse qualità e le diverse confezioni del tabacco']","['ta', 'bac', 'chie', 'ra']",tabacchièra, /tabakˈkjɛra/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabacchiera100
tabacchificio,['stabilimento per la raccolta e lavorazione del tabacco in foglie'],"['ta', 'bac', 'chi', 'fi', 'cio']",tabacchifìcio, /tabakkiˈfiʧo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabacchificio100
tabacchino,['operaio di una manifattura di tabacco'],"['ta', 'bac', 'chi', 'no']",tabacchìno, /tabakˈkino/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabacchino100
tabacco,"['BOTANICA  --  pianta erbacea con fiori imbutiformi e grandi foglie ovate (famiglia: Solanacee)', 'il prodotto ottenuto essiccando, trinciando o polverizzando le foglie di tabacco']","['ta', 'bac', 'co']",tabàcco, /taˈbakko/,['aggettivo e sostantivo maschile'],"['tabacco sigaretta forte', 'prendere tabacco', ""Bacco, tabacco e Venere riducon l'uomo in cenere"", '(tabacco) pizzichino', 'tabacco attenuato', 'tabacco attenuato', 'annusare il tabacco', ""via dell'oppio, della droga, del tabacco"", 'il tedesco è tranquillo sol che abbia patate da mangiare e tabacco da fumare', ""quando l'uomo è stracco prende una presa di tabacco"", ""Bacco, tabacco e Venere riducon l'uomo in cenere""]",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabacco100
tabaccone,"['FAMILIARE  --  che, chi abitualmente fiuta o mastica tabacco un vecchio professore tabaccone | un vecchio tabaccone | un vecchio prete tabaccone']","['ta', 'bac', 'co', 'ne']",tabaccóne, /tabakˈkone/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabaccone100
tabaccoso,"[""sporco di tabacco o che ne conserva l'odore""]","['ta', 'bac', 'co', 'so']",tabaccóso," /tabakˈkoso/, /tabakˈkozo/",['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabaccoso100
tabacosi,"[""pneumoconiosi che affligge i lavoratori del tabacco causata dall'inalazione delle polveri di foglie""]","['ta', 'ba', 'co', 'si']",tabacòsi, /tabaˈkɔzi/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabacosi100
tabagico,['che è relativo al tabacco'],"['ta', 'ba', 'gi', 'co']",tabàgico, /taˈbaʤiko/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabagico100
tabagismo,"[""MEDICINA  --  intossicazione cronica conseguente all'uso eccessivo e prolungato del tabacco, accompagnata da fenomeni di assuefazione parziale e da alterazioni organiche e funzionali di varia gravità a seconda della quantità complessiva di tabacco consumata, a carico dell'apparato respiratorio, cardiovascolare, gastroenterico e del sistema nervoso"", ""PER ESTENSIONE SCHERZOSO  --   l'abitudine di fumare""]","['ta', 'ba', 'gi', 'smo']",tabagìsmo, /tabaˈʤizmo/,['sostantivo maschile'],['tabagismo indiretto'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabagismo100
tabagista,"['MEDICINA  --  chi è affetto da tabagismo, chi fa cioè uso abituale del tabacco', 'PER ESTENSIONE  --  fumatore accanito']","['ta', 'ba', 'gi', 'sta']",tabagìsta, /tabaˈʤista/,['sostantivo maschile e femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabagista100
tabarin,"['francese luogo di ritrovo notturno, dove si danza e si assiste a numeri di varietà']","['ta', 'ba', 'rin']",tabarin, /tabaˈrɛn/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabarin100
tabarro,"[""ABBIGLIAMENTO  --  ampio mantello da uomo di lana pesante e disadorno, indossato sull'abito o anche sopra il cappotto, in uso nei secoli scorsi e ancor oggi in alcune regioni dell'Italia settentrionale, specialmente nella Bassa Padana acciò che tu mi creda, io ti lascerò pegno questo mio tabarro [Boccaccio] | il nonno ora stava meglio, e lo mettevano sull'uscio, al sole, avvolto nel tabarro [Verga]"", 'STORIA  --  a Venezia, nel XVIII secolo: ampio mantello con doppia mantellina, tagliato in un rotondo perfetto, portato dai nobili e adottato anche dalle donne, di panno scuro o scarlatto e di seta bianca in estate', ""ABBIGLIAMENTO REGIONALE SCHERZOSO  --    nell'uso settentrionale: cappotto da uomo molto pesante e disadorno; pastrano""]","['ta', 'bar', 'ro']",tabàrro, /taˈbarro/,['sostantivo maschile'],"['gennaio e febbraio, mettiti il tabarro']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabarro100
tabasco,['salsa piccante utilizzata come condimento di vivande'],"['ta', 'ba', 'sco']",tabàsco, /taˈbasko/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabasco100
tabe,"['MEDICINA  --  nome generico di malattie che distruggono i tessuti, specialmente il midollo spinale', 'letterario marcia, pus']","['ta', 'be']",tàbe, /ˈtabe/,['sostantivo femminile'],['tabe meseraica'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabe100
tabella,"['quadro, prospetto con indicazioni varie']","['ta', 'bel', 'la']",tabèlla, /taˈbɛlla/,['sostantivo femminile'],"['tabella oraria', 'tabelle di posa semplici', 'tabelle, tavole di tiro']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabella100
tabellare,"['che è disposto in tabella o ha forma di tabella', 'che è ottenuto utilizzando tavolette']","['ta', 'bel', 'la', 're']",tabellàre, /tabelˈlare/,['aggettivo'],['forza organica o tabellare'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabellare100
tabellario,['schiavo che nella Roma imperiale doveva recapitare le missive della famiglia cui apparteneva'],"['ta', 'bel', 'la', 'rio']",tabellàrio, /tabelˈlarjo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabellario100
tabellazione,"['RARO  --  elencazione, raccolta di dati in forma di prospetto', 'RARO  --  tabella, prospetto, sinossi']","['ta', 'bel', 'la', 'zio', 'ne']",tabellazióne, /tabellatˈtsjone/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabellazione100
tabellina,"['diminutivo di tabella', 'MATEMATICA  --  ciascuna riga o colonna della tavola pitagorica la tabellina del due | la tabellina del sette | studiare le tabelline']","['ta', 'bel', 'li', 'na']",tabellìna, /tabelˈlina/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabellina100
tabellionato,['sigillo notarile fornito dalla Zecca dello Stato a ciascun notaio'],"['ta', 'bel', 'lio', 'na', 'to']",tabellionàto, /tabelljoˈnato/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabellionato100
tabellione,['nome dato in antico al notai'],"['ta', 'bel', 'lio', 'ne']",tabellióne, /tabelˈljone/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabellione100
tabellone,"[""grande tabella; specialmente quella con le votazioni degli studenti, con l'orario dei treni e simili"", 'tavola usata per le affissioni', 'SPORT  --  quadro che regge il cesto della pallacanestro']","['ta', 'bel', 'lo', 'ne']",tabellóne, /tabelˈlone/,['sostantivo maschile'],['tabellone degli arrivi'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabellone100
tabernacolo,"['nicchia, edicola con una immagine sacra', ""piccola edicola chiusa, al centro dell'altare, in cui vengono conservate le ostie consacrate; ciborio""]","['ta', 'ber', 'na', 'co', 'lo']",tabernàcolo, /taberˈnakolo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabernacolo100
tabernaria,"['TEATRO  --  nel teatro classico latino: commedia di argomento popolare e triviale, di soggetto nazionale, probabilmente simile alla togata']","['ta', 'ber', 'na', 'ria']",tabernària, /taberˈnarja/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabernaria100
tabescere,"['ARCAICO  --  consumarsi, decomporsi, andare in consunzione']","['ta', 'be', 'sce', 're']",tabèscere, /taˈbɛʃʃere/,['verbo intransitivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabescere100
tabetico,"['MEDICINA  --  di tabe; caratteristico della tabe; lo stesso che tabico', 'MEDICINA  --  che, chi è affetto da tabe']","['ta', 'be', 'ti', 'co']",tabètico, /taˈbɛtiko/,"['aggettivo', 'aggettivo e sostantivo maschile']",['crisi tabetica'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabetico100
tabi,"[""TESSITURA  --  seta simile al taffettà, pesante, marezzata, usata in passato per confezionare abiti o come fodera di vesti pregiate un giovane vestito di tabinetto cremisi [D'Annunzio]""]","['ta', 'bi']",tabì, /taˈbi/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabi100
tabico,"['MEDICINA  --  lo stesso, ma meno comune, che tabetico']","['ta', 'bi', 'co']",tàbico, /ˈtabiko/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=tabico100
