parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
u,"[""ventunesima lettera dell'alfabeto, diciannovesima dell'alfabeto scolastico, il cui nome esteso è u; nell'ortografia italiana rappresenta in genere la vocale chiusa velare /u/ uva | luna | fluire | innocuo | turchese | statua; se è collocata prima di una vocale e non è accentata indica generalmente la semiconsonante velare /w/, specie se è preceduta da consonante velare (c, g, q) e seguita da vocale, oppure è all'inizio di parola o in combinazione con i davanti a vocale tonica acquario | buono | causa | lingua | quattro | uomo | uovo | cuoco | fuoco | iniquo | nuoto | quasi | seguente; in finale di parola è sempre accentata"", 'nel codice alfabetico internazionale, la lettera u viene convenzionalmente identificata dal nome uniform', 'nella compitazione telefonica, la lettera u viene convenzionalmente identificata dalla città di Udine U come Udine', ""(specialmente maiuscola) in funzione di aggettivo numerale indica il ventunesimo o il diciannovesimo elemento o livello di una serie ordinata mediante lettere dell'alfabeto classe II sezione U | serie U | turno U | sezione U. | categoria U"", 'PALEOGRAFIA  --  fino ai primi del Cinquecento u rappresentava graficamente anche il suono della consonante fricativa labiodentale sonora v; la distinzione grafica divenne comune alla fine del Seicento']",['u'],"U, u", /ˈu/,['sostantivo maschile e femminile'],"['a U', 'inversione a U', 'valle a U', 'onda U', 'allevamento a U semplice o doppia']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=u100
uabaio,"[""BOTANICA  --  nome comune di una pianta del genere Acocantera (Acocanthera abyssinica) diffusa nell'Africa sudorientale, dalle cui radici si estrae un latice velenoso utilizzato dagli indigeni per avvelenare le frecce da caccia; un arbusto sempreverde delle Apocinacee, con foglie lucide, fiori bianchi sfumati di rosa, e frutti velenosissimi; anche il nome del veleno stesso""]","['ua', 'ba', 'io']",uabàio, /waˈbajo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=uabaio100
uadi,"[""nome generico dei corsi d'acqua, sempre asciutti fuorché nella stagione delle piogge, caratteristici delle zone desertiche africane""]","['ua', 'di']",uàdi, /ˈwadi/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=uadi100
uau,['adattamento italiano di wow'],['uau'],uàu, /ˈwaw/,['interiezione'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=uau100
ubbia,"['pregiudizio, opinione infondata che è causa di timore o avversione ingiustificati']","['ub', 'bi', 'a']",ubbìa, /ubˈbia/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ubbia100
ubbidente,['variante meno comune di ubbidiente'],"['ub', 'bi', 'den', 'te']",ubbidènte, /ubbiˈdɛnte/,['participio presente e aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ubbidente100
ubbidiente,['participio presente di ubbidire nei significati del verbo'],"['ub', 'bi', 'dien', 'te']",ubbidiènte, /ubbiˈdjɛnte/,['participio presente e aggettivo'],"['chi vuol essere ubbidiente non deve strafare in niente', 'il marito deve essere paziente, ma anche la moglie deve essere ubbidiente']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ubbidiente100
ubbidienza,"[""l'ubbidire; la virtù il comportamento di chi ubbidisce"", 'la sottomissione dovuta dai religiosi ai loro superiori']","['ub', 'bi', 'dien', 'za']",ubbidiènza, /ubbiˈdjɛntsa/,['sostantivo femminile'],"[""dove comincia il peccato, cessa l'ubbidienza"", ""la perfetta ubbidienza d'ogni bene è semenza"", ""l'ubbidienza è il fondamento dell'ordine"", ""l'ubbidienza è il primo dovere del soldato"", ""l'ubbidienza irragionevole è pazzia"", ""l'ubbidienza per paura, poco dura"", ""l'ubbidienza val più del sacrificio""]",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ubbidienza100
ubbidire,"[""fare ciò che viene ordinato; sottostare all'altrui volontà"", 'detto di organi fisici o di meccanismi corrispondere a un ordine, a un comando', ""fare ciò che viene ordinato; sottostare all'altrui volontà"", 'detto di organi fisici o di meccanismi corrispondere a un ordine, a un comando']","['ub', 'bi', 'di', 're']",ubbidìre, /ubbiˈdire/,['verbo transitivo e intransitivo'],"['chi non vuol ubbidire ai genitori, ubbidirá al carceriere', 'chi non vuole ubbidire al padre in giovinezza, va a pericolo di ubbidire al boia in vecchiezza', ""dall'ubbidire deve cominciare, chi vuol esser adatto a comandare"", 'è meglio ubbidire, che santificare', ""il ferro stesso, ch'è si' duro e saldo, ubbidisce al martel quand'è ben caldo"", 'l’intelletto deve governare, e la volontà ubbidire', ""l'intelletto deve governare, e la volontà ubbidire"", 'se tu vuoi ubbidire, non fare più di quello che ti vien comandato']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ubbidire100
ubbidito,['participio passato di ubbidire nei significati del verbo comandi ubbiditi | leggi ubbidite'],"['ub', 'bi', 'di', 'to']",ubbidìto, /ubbiˈdito/,['participio passato e aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=ubbidito100
