parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
v,"[""ventiduesima lettera dell'alfabeto, la ventesima dell'alfabeto scolastico il cui nome esteso è vi o vu, nell'ortografia italiana nell'ortografia italiana rappresenta il suono della consonante fricativa labiodentale sonora spirante /v/"", 'nel codice alfabetico internazionale, la lettera v viene convenzionalmente identificata dal nome Victor', 'nella compitazione telefonica, la lettera v viene convenzionalmente identificata dalla città di Venezia V come Venezia', ""(specialmente maiuscola) in funzione di aggettivo numerale indica il ventesimo o il ventiduesimo elemento o livello di una serie ordinata mediante lettere dell'alfabeto classe II sezione V | serie V | turno V | sezione V. | categoria V"", ""anticamente si confondeva con la vocale u fino all'inizio del XVI secolo; l'uso sopravvive in lapidi, iscrizioni e simili secondo l'uso latino"", 'nella numerazione romana indica il numero cinque']",['v'],"V, v"," /ˈvi/, /ˈvu/",['sostantivo maschile e femminile'],"['cilindri a V', 'cilindri a V', 'a V', 'V longitudinale', 'V orizzontale', 'V trasversale', 'dita alzate a V', 'valle a V', 'motore a V', 'motore 6V, 8V', 'v doppia o doppio v', 'scollatura a V', 'V1, V2']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=v100
va,"[""FAMILIARE  --  guarda!, esprime meraviglia, stizza, rassegnazione, sorpresa, stupore oppure minaccia, avvertimento, ammonimento va' che bello! | va' che se non la smetti mi arrabbio! | anch'io, va', ho i miei diritti | va' che cosa mi tocca sentire | va' che se ti prendo … | va' chi si vede! | ma va'!, ma guarda! | va' chi si rivede! | ma va' cosa mi tocca di fare!"", 'ECONOMIA  --  abbreviazione di valore attuale', 'ECONOMIA  --  abbreviazione di valore aggiunto', 'abbreviazione di Vostra Altezza', 'FERROVIE  --  abbreviazione di velocità accelerata merci spedite a V. A.', 'ELETTRICITÀ METROLOGIA  --   simbolo del Voltampere', 'nelle targhe automobilistiche e negli usi burocratici: Virginia', 'nelle targhe automobilistiche e negli usi burocratici: Varese']",['va'],va', /ˈva/,"['interiezione', 'abbreviazione', 'abbreviazione', 'simbolo', 'sigla', 'sigla']","[""va' o va e vieni""]",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=va100
vacabile,['che può essere vacante'],"['va', 'ca', 'bi', 'le']",vacàbile, /vaˈkabile/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vacabile100
vacante,['participio presente di vacare nei significati del verbo'],"['va', 'can', 'te']",vacànte, /vaˈkante/,['participio presente e aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vacante100
vacanza,"[""l'essere vacante; la condizione di un ufficio privo del titolare"", ""sospensione temporanea dell'attività negli uffici, nelle scuole, nelle assemblee per ragioni di riposo o per celebrare una ricorrenza"", 'lungo periodo di riposo concesso a chi lavora o studia']","['va', 'can', 'za']",vacànza, /vaˈkantsa/,['sostantivo femminile'],"['prendere o prendersi le vacanze o le ferie', 'il pigro cerca un padrone che gli dia sette vacanze alla settimana']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vacanza100
vacanziere,['chi trascorre le vacanze fuori della propria residenza abituale'],"['va', 'can', 'zie', 're']",vacanzière, /vakanˈtsjɛre/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vacanziere100
vacanziero,['che va in vacanza'],"['va', 'can', 'zie', 'ro']",vacanzièro, /vakanˈtsjɛro/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vacanziero100
vacare,"['essere o rimanere privo del titolare, detto di cariche, uffici e simili']","['va', 'ca', 're']",vacàre, /vaˈkare/,['verbo intransitivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vacare100
vacatio,"['DIRITTO VOCE LATINA  --   cessazione, sospensione', ""STORIA VOCE LATINA  --   nel diritto romano: privilegio analogo all'immunità e consistente nell'esenzione da obblighi""]","['va', 'ca', 'tio']",vacàtio, /vaˈkattsjo/,['sostantivo femminile'],['vacatio legis'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vacatio100
vacazione,"[""DIRITTO  --  periodo durante il quale un perito compie certe operazioni per conto dell'autorità giudiziaria"", 'arcaismo vacanza']","['va', 'ca', 'zio', 'ne']",vacazióne, /vakatˈtsjone/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vacazione100
vacca,"['femmina del toro che ha già figliato', 'carne di vacca macellata', 'bachi da seta che non fanno il bozzolo']","['vac', 'ca']",vàcca, /ˈvakka/,['sostantivo femminile'],"['andare a schifio in vacca', 'parlare francese come una vacca spagnola', 'mandare a frutto una vacca, una cavalla', 'vacca da frutto', 'pel di vacca', 'chi sacrifica la vita per una vacca, per un bramano, per il suo signore, per la sua donna, per la sua patria, ottiene i mondi eterni', 'chi si lascia mettere in spalla la capra, indi a poco è sforzato a portar la vacca', 'da una sola vacca, non si cava due pelli', ""del prossimo anno chi l'entrata intacca, mangia il vitello in corpo della vacca"", ""d'estate ogni buco fa latte, d'inverno nemmen le buone vacche"", 'di vacca non nasce cervo', ""il pover'uomo non fa mai ben : se muor la vacca, gli avanza il fien; se la vacca scampa, il fien gli manca"", 'incominciano i pascoli e le vacche danno latte', 'la fortuna è una vacca, a chi mostra il davanti, a chi il di dietro', 'le vacche nella stalla arricchiscono la borsa', ""pover'uomo non fa mai ben : se muor la vacca, gli avanza il fien; se la vacca scampa, il fien gli manca"", 'quando la vacca tien su il muso, brutto tempo salta suso', 'quando si va a messa a mezzanotte con la luna, chi ha due vacche ne vende una', 'se il dì di san Martino il sole va in bisacca, vendi il pane e tienti la vacca; se il sole va giù sereno, vendi la vacca e tienti il fieno', ""sega l'erba a luna nuova e la vacca al bisogno trova"", 'vacche e buoi di strigliare spesso bada, perché la striglia è una seconda biada']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vacca100
vaccaia,"['femminile di vaccaio', ""ORNITOLOGIA  --  altro nome comune dell'uccello altrimenti noto come capovaccaio""]","['vac', 'ca', 'ia']",vaccàia, /vakˈkaja/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vaccaia100
vaccaio,"['guardiano di vacche, mandriano']","['vac', 'ca', 'io']",vaccàio, /vakˈkajo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vaccaio100
vaccamente,"['RARO  --  terribilmente, enormemente']","['vac', 'ca', 'men', 'te']",vaccaménte, /vakkaˈmente/,['avverbio'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vaccamente100
vaccaro,['variante di vaccaio'],"['vac', 'ca', 'ro']",vaccàro, /vakˈkaro/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vaccaro100
vaccata,"['porcheria, sciocchezza grossolana']","['vac', 'ca', 'ta']",vaccàta, /vakˈkata/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vaccata100
vaccheria,"['stalla dove si allevano vacche', 'latteria di campagna']","['vac', 'che', 'ri', 'a']",vaccherìa, /vakkeˈria/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vaccheria100
vacchetta,"['pelle conciata di vacca, usata per calzature', 'registro, per lo più lungo e stretto, usato un tempo per annotazioni di spese']","['vac', 'chet', 'ta']",vacchétta, /vakˈketta/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vacchetta100
vacchino,"['RARO  --  di vacca, vaccino formaggio vacchino | latte vacchino | pelle vacchina', 'GASTRONOMIA  --  formaggio fatto con latte di vacca']","['vac', 'chi', 'no']",vacchìno, /vakˈkino/,"['aggettivo', 'sostantivo maschile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vacchino100
vaccina,"['vacca', 'carne di vacca o di manzo', 'sterco di bovino']","['vac', 'ci', 'na']",vaccìna, /vatˈʧina/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vaccina100
vaccinabile,"['che si può vaccinare, che può essere vaccinato']","['vac', 'ci', 'na', 'bi', 'le']",vaccinàbile, /vatʧiˈnabile/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vaccinabile100
vaccinare,"[""inoculare vaccino nell'uomo o negli animali per immunizzarli da varie malattie"", ""sottoporsi a una vaccinazione mi sono vaccinato ieri | vaccinarsi contro il morbillo l'anno scorso"", 'FIGURATO  --  premunirsi, difendersi da un evento negativo si è vaccinato contro le delusioni']","['vac', 'ci', 'na', 're']",vaccinàre, /vatʧiˈnare/,"['verbo transitivo', 'verbo pronominale intransitivo']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vaccinare100
vaccinato,"['participio passato di vaccinare nei significati del verbo', 'che è stato sottoposto a vaccinazione bambino vaccinato', ""FIGURATO  --  reso immune dall'esperienza ormai sono vaccinato contro le fregature | è vaccinato contro la gelosia | sono vaccinato contro le delusioni amorose""]","['vac', 'ci', 'na', 'to']",vaccinàto, /vatʧiˈnato/,['participio passato e aggettivo'],['essere maggiorenne e vaccinato'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vaccinato100
vaccinatore,"['RARO  --  che, chi esegue una vaccinazione', 'MEDICINA RARO  --   strumento usato per praticare vaccinazioni']","['vac', 'ci', 'na', 'to', 're']",vaccinatóre, /vatʧinaˈtore/,"['aggettivo e sostantivo maschile', 'sostantivo maschile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vaccinatore100
vaccinazione,"['atto, effetto dei vaccinare']","['vac', 'ci', 'na', 'zio', 'ne']",vaccinazióne, /vatʧinatˈtsjone/,['sostantivo femminile'],"['vaccinazione jenneriana', 'vaccino, vaccinazione antipolio']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vaccinazione100
vaccinico,"['di vaccino, che concerne il vaccino']","['vac', 'ci', 'ni', 'co']",vaccìnico, /vatˈʧiniko/,['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=vaccinico100
