parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
w,"[""ventitreesima lettera dell'alfabeto il cui nome è vu doppio o doppia vu o doppia vi; è presente esclusivamente in esotismi o in parole straniere parzialmente adattate; può essere pronunciata come la consonante fricativa labiodentale /v/ wafer | watt | water | würstel | wolframio | wagneriano | Walter | Wilma o come la semiconsonante o semivocale /w/ west | whist | whisky | welfare | waterpolista; nella compitazione specialmente telefonica italiana si dice W come Washington; nel codice alfabetico internazionale viene identificata dalla parola whisky"", 'indica un nome proprio che inizia con la lettera W W. Osiris | W. Chiari', 'FINANZA  --  abbreviazione di warrant']",['w'],w," /,vuˈdoppjo/, /,doppjoˈvu/","['sostantivo maschile e femminile', 'abbreviazione', 'abbreviazione']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=w100
wa,"['ETNOLOGIA  --  che, chi appartiene alla popolazione degli Wa, un insieme di tribù stanziate sui monti della Thailandia e della Birmania nordorientale', 'nelle targhe e negli usi burocratici: Washington', ""ASSICURAZIONI  --  With Average, a tutte le condizioni di polizza, compresa l'avaria""]",['wa'],wa," /wa/, /,vuˈa/","['agg. e s. maschile e femminile', 'sigla', 'abbreviazione']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=wa100
wafer,"['GASTRONOMIA VOCE INGLESE  --   biscotto costituito da due o più cialde friabili ripiene di crema o cioccolato', 'ELETTRONICA VOCE INGLESE  --   piastrina di materiale semiconduttore costituita da una serie di strati sovrapposti di silicio o di germanio che, sottoposta ad un processo di incisione fotochimica, serve di base per la realizzazione dei circuiti integrati']","['wa', 'fer']",wafer, /ˈvafer/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=wafer100
wagneriano,"['MUSICA  --  proprio o relativo al musicista tedesco Wilhem Richard Wagner (1813–1883) e alla sua musica e alle sue teorie la musica wagneriana | le opere wagneriana | la tetralogia wagneriana dei Nibelunghi', 'MUSICA  --  conoscitore, seguace, ammiratore della musica di Wagner']","['wag', 'ne', 'ria', 'no']",wagneriàno, /vagneˈrjano/,"['aggettivo', 'sostantivo maschile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=wagneriano100
wagon-lit,['VOCE FRANCESE  --  vettura ferroviaria con scompartimenti attrezzati a cabine con uno o più letti per i passeggeri; vagone letto; sigla WL'],"['wa', 'gon-lit']",wagon–lit," /,vagonˈli/, /va,gonˈli/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=wagon-lit100
wagon-restaurant,"['FERROVIE VOCE FRANCESE  --   carrozza, vagone ristorante']","['wa', 'gon-re', 'stau', 'rant']",wagon–restaurant," /va,gonrestoˈran/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=wagon-restaurant100
walchiria,['variante grafica di valchiria'],"['wal', 'chi', 'ria']",walchìria, /valˈkirja/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=walchiria100
wald,"[""GEOGRAFIA VOCE TEDESCA  --  termine corrispondente all'italiano bosco, foresta,  frequente in varie denominazioni geografiche con il significato di bosco, foresta""]",['wald'],Wald, /ˈvald/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=wald100
walhalla,"[""VOCE TEDESCA  --  nell'antica mitologia nordica: l'oltretomba degli eroi morti in battaglia, gli eletti del dio guerriero Odino, al quale giungono guidati dalle valchirie e dove, tra esercizi d'armi e banchetti, si preparano alla battaglia finale in difesa del dio Wotan""]","['wal', 'hal', 'la']",walhalla, /vaˈlalla/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=walhalla100
walkie-talkie,"[""VOCE INGLESE  --  radioricetrasmettitore portatile a batterie, usato per collegamenti su brevi distanze, sintonizzato su una lunghezza d'onda fissa""]","['wal', 'kie-tal', 'kie']",walkie–talkie," /,wolkiˈtolki/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=walkie-talkie100
walkman,"[""VOCE INGLESE  --  riproduttore stereofonico portatile, munito di cuffiette per l'ascolto di stazioni radio o di musicassette o di file MP3""]","['walk', 'man']",walkman, /ˈwolkmen/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=walkman100
walkover,"[""SPORT VOCE INGLESE  --   nell'ippica: corsa in cui un cavallo rimane solo per il ritiro degli altri concorrenti"", 'SPORT PER ESTENSIONE VOCE INGLESE  --    competizione sportiva in cui un concorrente primeggia e si afferma facilmente per il livello nettamente inferiore degli avversari']","['walkov', 'er']",walk–over," /,wolˈkɔver/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=walkover100
wallaby,['ZOOLOGIA  --  denominazione comune di diversi canguri della famiglia dei Macropodidi; specialmente quelli del genere Wallabia'],"['wal', 'la', 'by']",wallaby, /ˈwallabi/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=wallaby100
walzer,"['variante grafica, meno comune, di valzer']","['wal', 'zer']",wàlzer, /ˈvaltser/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=walzer100
wampum,"[""VOCE INGLESE  --  collana di conchiglie usata in passato dagli indiani d'America come ornamento personale, come moneta di scambio e come pegno di garanzia degli accordi stipulati""]","['wam', 'pum']",wampum, /wamˈpum/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=wampum100
wanted,"[""VOCE INGLESE  --  propriamente desiderato, richiesto, ricercato nelle offerte di impiego e nei manifesti della polizia criminale, specialmente nei telefilm americani; in italiano usato con un'intonazione scherzosa""]","['wan', 'ted']",wanted, /ˈwonted/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=wanted100
wapiti,"[""ZOOLOGIA  --  nome comune du un grande mammifero del genere Cervo (Cervus canadensis), tra i più grandi o imponenti che esistano, diffuso nell'America settentrionale, con mantello di colore bruno scuro, lunghe e poderose corna ramificate e criniera ben sviluppata""]","['wa', 'pi', 'ti', '', '']","wapìti, wàpiti"," /waˈpiti/, /ˈwapiti/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=wapiti100
warrant,"['COMMERCIO VOCE INGLESE  --   documento che i magazzini generali e i depositi franchi rilasciano a chi vi deposita merci', 'FINANZA VOCE INGLESE  --   cedola che dà diritto al portatore di acquistare un certo titolo entro una certa scadenza e a un prezzo prestabilito, solitamente una futura emissione di azioni o di obbligazioni']","['war', 'rant']",warrant, /ˈwarrant/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=warrant100
wash,['nelle targhe automobilistiche e negli usi burocratici: Washington'],['wash'],Wash, /ˈwɔʃ/,['sigla'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=wash100
wash-and-wear,"['TESSITURA VOCE INGLESE  --   detto di tessuto sintetico che, dopo essere stato lavato, non ha bisogno di essere stirato camicia wash and wear | maglia wash-and-wear']",['wash-and-wear'],wash–and–wear," /,woʃ,ʃɛndˈwɛar/",['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=wash-and-wear100
washboard,['MUSICA VOCE INGLESE  --   asse da bucato usato come strumento a percussione specialmente nel jazz delle origini'],['washboard'],wash–board," /,wɔʃˈbord/",['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=washboard100
wassermann,['MEDICINA  --  forma abbreviata di «reazione Wassermann»'],"['was', 'ser', 'mann']",Wassermann, /ˈvasserman/,['sostantivo femminile'],"['reazione Wassermann', 'reazione Wassermann']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=wassermann100
