parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
x,"[""ventiquattresima lettera dell'alfabeto il cui nome esteso è ics, nell'ortografia italiana rappresenta il suon /ks/ composto dalla occlusiva velare sorda /k/più la spirante dentale sorda /s/; è presente esclusivamente in grecismi e latinismi xenofobo | xenofobia | xilografia | uxoricida e in forestierismi boxe | mixer | texano | fax | telex; in principio di parola ha lo stesso trattamento della s impura, cioè non permette dinanzi a sé il troncamento, e vuole l'articolo determinativo nelle forme lo, gli e l'indeterminativo nella forma uno e gli aggettivi quello, bello, al plurale, nelle forme quegli, begli"", 'nel codice alfabetico internazionale, la lettera x viene convenzionalmente identificata dal nome X-ray', 'nella compitazione telefonica, la lettera x viene convenzionalmente identificata dal suo nome ics oppure con Xeres, antico nome della città spagnola di Jerez', 'nel sistema di numerazione romana, rappresenta il numero 10 e come ordinale vale decimo Pio X | Luigi X | Carlo X | Leone X', 'nei pronostici del totocalcio, indica il pareggio tra le due squadre', 'nel totip, indica un cavallo appartenente al gruppo X piazzatosi al primo o al secondo posto', ""nell'enalotto, indica un numero estratto compreso tra il 31 e il 60"", ""X, come taglia dei capi d'abbigliamento sta per la parola extra e indica un grado maggiore, cioè più grande se premesso a L, large, più piccolo se premesso a S, small; viene anche duplicata o triplicata per indicare misure rispettivamente più grandi o più piccole XL | XXL | XS | XXS"", 'nella scrittura abbreviata, telegrafica e della messaggistica, sta per la sillaba per', ""(specialmente maiuscola) in funzione di aggettivo numerale indica il ventiquattresimo elemento o livello di una serie ordinata mediante lettere dell'alfabeto classe II sezione X | serie X | turno X | sezione X. | categoria X"", ""sempre posposto al sostantivo indica cosa o persona sconosciuta o che non si vuole precisare oppure un dato o una variabile il cui valore è incognito, indeterminato, sconosciuto o che non si vuole indicare con precisione (anche sostantivato) è veramente una grossa X | fattore X | la signora X | un certo signor X | incontrarsi il giorno X | ora X | si recò dal signor X | elemento X | un X qualsiasi | giorno X | il pensiero di quell'uomo è un'ics per me"", 'indica un nome proprio che inizia con la lettera X']",['x'],x, /ˈiks/,"['sostantivo maschile e femminile', 'aggettivo', 'abbreviazione']","['raggi röntgen o raggi X', 'gambe a ics, a X', 'letto a X, a vento', 'a X', 'gambe a X', 'fattore X', 'ora X', 'signor X', 'un X qualsiasi', ""nel giorno X, all'ora X"", 'è veramente una grossa X', 'raggi X o Röntgen']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=x100
xantato,"[""CHIMICA  --  ogni sale o estere dell'acido xantico; lo stesso che xantogenato xantogenato di cellulosa""]","['xan', 'ta', 'to']",xantàto, /ksanˈtato/,['sostantivo maschile'],['xantogenato di cellulosa'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xantato100
xantene,"['CHIMICA  --  composto organico ossigenato eterociclico in cristalli, poco solubili in acqua e solubili in acido solforico, con tredici atomi di carbonio da cui deriva una importante serie di coloranti con colorazione gialla e fluorescenza verde']","['xan', 'te', 'ne']",xantène, /ksanˈtɛne/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xantene100
xantenico,"['CHIMICA  --  relativo allo, derivato dallo xantene; contenente xantene colorante xantenico']","['xan', 'te', 'ni', 'co']",xantènico, /ksanˈtɛniko/,['aggettivo'],['coloranti xantenici'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xantenico100
xantico,['CHIMICA  --  lo stesso che xantogenico'],"['xan', 'ti', 'co']",xàntico, /ˈksantiko/,['aggettivo'],['acido xantico'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xantico100
xantina,"['BIOCHIMICA  --  composto azotato presente in piccola quantità nel tessuto muscolare, fegato, milza, pancreas e anche nelle urine, un alcaloide la cui molecola contiene il nucleo della purina e dal quale derivano altri importanti alcaloidi quali la caffeina, la teofillina e la teobromina', 'primo elemento di composti, specialmente della terminologia scientifica, derivati dal greco o formati modernamente, col significato di relativo al colore giallo ficoxantina | rodoxantina | violaxantina | zeaxantina']","['xan', 'ti', 'na']",xantìna, /ksanˈtina/,"['sostantivo femminile', 'suffisso']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xantina100
xanto,"['primo elemento di composti, specialmente della terminologia scientifica, derivati dal greco o formati modernamente, col significato di giallo, biondo']","['xan', 'to']",xànto–, /ˈksanto/,['prefisso'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xanto100
xantofilla,"[""BIOCHIMICA  --  composto organico, a 40 atomi di carbonio, derivato dell'α–carotene, che costituisce il pigmento giallo di molti vegetali, che specialmente appare con evidenza nelle foglie caduche autunnali""]","['xan', 'to', 'fil', 'la']",xantofìlla, /ksantoˈfilla/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xantofilla100
xantogenato,"['CHIMICA  --  lo stesso, ma meno comune, che xantato']","['xan', 'to', 'ge', 'na', 'to']",xantogenàto, /ksantoʤeˈnato/,['sostantivo maschile'],['xantogenato di cellulosa'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xantogenato100
xantogenico,['BIOCHIMICA  --  solo nella locuzione «acido xantogenico»'],"['xan', 'to', 'ge', 'ni', 'co']",xantogènico, /ksantoˈʤɛniko/,['aggettivo'],"['acido xantogenico', 'acido xantogenico']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=xantogenico100
