parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
y,"[""venticinquesima lettera dell'alfabeto il cui nome esteso è ypsilon o, più raramente, i greca o i greco, nell'ortografia italiana rappresenta la semi vocale /j/ yankee | yard | yemenita | yugoslavia oppure, più raramente, la vocale /i/ yprite, ytterbio; presente per lo più in forestierismi"", 'nel codice alfabetico internazionale, la lettera y viene convenzionalmente identificata con la parola yankee', 'nella compitazione telefonica, la lettera y viene convenzionalmente identificata col suo nome ypsilon o dalla parola yacht Y come yacht', ""(specialmente maiuscola) in funzione di aggettivo numerale indica il venticinquesimo elemento o livello di una serie ordinata mediante lettere dell'alfabeto classe II sezione Y | serie Y | turno Y | sezione Y | categoria Y | gli abbonati del turno Y"", 'indica un nome proprio che inizia con la lettera Y Y. Brynner | Y. Montand']",['y'],y, /ˈipsilon/,"['sostantivo maschile e femminile', 'abbreviazione']",['a Y'],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=y100
yacht,"['MARINERIA VOCE INGLESE  --   lussuosa imbarcazione da diporto, a vela o a motore, dotata di spaziose cabine e, spesso, eleganti allestimenti, usata per crociere turistiche; è detta anche panfilo']",['yacht'],yacht, /ˈjɔt/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yacht100
yachting,"['MARINERIA VOCE INGLESE  --   la navigazione da diporto su mezzi privati, specialmente a vela e come attività agonistica con le sole imbarcazioni a vela']","['yach', 'ting']",yachting, /ˈjɔtting/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yachting100
yachtsman,['MARINERIA VOCE INGLESE  --   navigatore che pratica lo yachting o proprietario di uno yacht'],"['yachts', 'man']",yachtsman, /ˈjɔtsmen/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yachtsman100
yahweh,"['RELIGIONE  --  nome ebraico di Dio, mai pronunciato dagli ebrei in questa forma, la sua forma è nota da adattamenti greci']","['yah', 'weh']",Yahwèh, /jaˈvɛ/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yahweh100
yak,"[""ZOOLOGIA  --  nome comune di un mammifero ruminante, simile a un grosso bue gibboso (Poephagus grunniensis o Bos grunniensis), originario dell'altopiano del Tibet, di grandi dimensioni, resistentissimo al freddo e caratterizzato da testa piccola, corna lisce, pelame lungo e scuro, dal quale ha avuto origine una razza di dimensioni minori""]",['yak'],yak, /ˈjak/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yak100
yakusa,['variante grafica di yakuza'],"['ya', 'ku', 'sa']",yakusa, /jaˈkuza/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yakusa100
yale,['TECNOLOGIA VOCE INGLESE  --   forma abbreviata di «serratura yale»'],"['ya', 'le']",yale, /ˈjɛil/,['sostantivo femminile'],"['chiave piatta a corpo piatto o chiave yale', 'serratura Yale']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yale100
yamatologia,"['variante grafica, meno comune, di iamatologia']","['ya', 'ma', 'to', 'lo', 'gi', 'a']",yamatologìa, /jamatoloˈʤia/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yamatologia100
yamatologo,['variante grafica di iamatologo'],"['ya', 'ma', 'to', 'lo', 'go']",yamatòlogo, /jamaˈtɔlogo/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yamatologo100
yang,"[""FILOSOFIA VOCE CINESE  --   nella filosofia cinese tradizionale, specialmente nel taoismo: il principio attivo, positivo e maschile dell'universo, complementare allo ying e con esso fondamento di tutto ciò che esiste (anche in funzione appositiva)""]",['yang'],yang, /ˈjang/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=yang100
