parola,definizione,sillabe,lemma,pronuncia,grammatica,locuzioni,url
z,"[""ventiseiesima e ultima lettera dell'alfabeto, ventunesima dell'alfabeto scolastico, il cui nome esteso è zeta, nell'ortografia italiana rappresenta due suoni consonantici distinti: l'affricata dentale sorda /ts/ e l'affricata alveolare sonora /dz/; non vi sono norme sincroniche per la pronuncia sorda o sonora della zeta, tuttavia si può osservare che il suono sordo /ts/ si ha quando la zeta è seguita da i + un'altra vocale abazia | addizionare | agenzia | amicizia | anziano | astuzia | avarizia | azienda | balbuzie | calvizie | capzioso | cazziatone | comizio | consorzio | fetenzia | grazia | malizia | nazionalismo | paziente | porziuncola | spazio | zio, dopo la lettera l alzare, balza, balzello, calza, calzone, elzeviro, filza, mascalzone, milza, pulzella, scalzo, valzer, nei suffissi –anza, –enza, –ezza, –ozzo, –uzzo abbastanza | abbondanza | adunanza | alleanza | ambulanza | assonanza | baldanza | belligeranza | circostanza | cittadinanza | costanza | devianza | eccedenza | eccellenza | eloquenza | emergenza | equivalenza | esigenza | evidenza | flatulenza | imminenza | imponenza | intendenza | irruenza | leggerezza | lentezza | lunghezza | monnezza | naturalezza | nettezza | nudezza | peluzzo | predicozzo | puzzo | scagnozzo | singhiozzo | spruzzo | struzzo | tozzo | verduzzo | zozzo; si ha invece il suono sonoro /dz/ quando z si trova tra due vocali di cui la seconda sia diversa da i azimut | azoto | bazar | bazuka | bizantino | bulldozer | buzuki | cenozoico | cruzeiro | euzone | fazenda | kamikaze | mazurka | metazoo | motozappa | nazareno | perizoma | rizoma | sottozero | yakuza | zizania e nei suffissi –izzare e derivati acutizzare | agonizzante | alcolizzare | alcolizzato | armonizzare | balcanizzare | banalizzare | brutalizzare | canalizzare | catalizzare | civilizzare | colonizzare | despotizzare | dializzato | drizzare | egemonizzare | ellenizzare | fidelizzare | fraternizzare | galvanizzare | generalizzare | idealizzare | immobilizzare | indirizzare | legalizzare | lobotomizzare | magnetizzare | meccanizzare | metabolizzare | mimetizzare | mitizzare | nebulizzare | neutralizzare | normalizzare | opacizzare | organizzare | paralizzare | penalizzare | rateizzare | realizzare | sensibilizzare | simbolizzare | socializzare | teorizzare | traumatizzare | urbanizzare | vaporizzare | vivacizzare | zizzagare; in entrambi i suoni, sordo /ts/ o sonoro /dz/, la pronuncia della zeta non è mai di grado tenue; se intervocalica singola è sempre geminata anche quando la grafia ne presenta una sola; tuttavia, date le numerose eccezioni, si consiglia di verificare, per ogni lemma, la pronuncia figurata nell'Alfabeto Fonetico Internazionale riportata su questo dizionario e il relativo file sonoro allegato; quando è iniziale di parola va trattata come la s impura, e cioè non permette dinanzi a sé il troncamento e vuole l'articolo determinativo nelle forme lo, gli, gli aggettivi quello e bello nelle forme plurali quegli e begli, e l'articolo indeterminativo nella forma uno"", 'nel codice alfabetico internazionale, la lettera z viene convenzionalmente identificata dal nome zulu', 'nella compitazione telefonica, la lettera c viene convenzionalmente identificata dalla città di Zara Z come Zara', ""(specialmente maiuscola) in funzione di aggettivo numerale indica il ventiseiesimo o il ventunesimo elemento o livello di una serie ordinata mediante lettere dell'alfabeto classe II sezione Z | serie Z | turno Z | sezione Z. | categoria Z"", 'abbreviazione di un nome proprio di persona che inizia con la lettera Z']",['z'],z, /ˈdzɛta/,"['sostantivo maschile e femminile', 'abbreviazione']","[""sapere qualcosa a menadito per filo e per segno dalla A alla Z come l'avemaria come il padrenostro"", 'z aspra, s aspra', 'strada a Z', 'collegamento a Z']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=z100
zabaglione,['variante di zabaione'],"['za', 'ba', 'glio', 'ne']",zabaglióne, /dzabaʎˈʎone/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=zabaglione100
zabaione,"[""GASTRONOMIA  --  crema densa e spumosa ottenuta facendo cuocere a bagnomaria il tuorlo d'uovo montato con zucchero e diluito con marsala o altro vino dolce o liquoroso e a volte latte; è in genere servito in coppa o in tazza a fine pasto come dolce ed è inoltre usato come complemento di varie preparazioni dolciarie uno zabaione al rum | bigné allo zabaione | gelato allo zabaione | farsi uno zabaione | prendere uno zabaione | torta allo zabaione | sbattere uno zabaione | paste allo zabaione | caramelle allo zabaione | zabaione al marsala | zabaione al vinsanto | un bigné ripieno di zabaione | bersi uno zabaione"", 'GASTRONOMIA PER ESTENSIONE  --   liquore fatto con tale crema un bicchierino di zabaione', 'FIGURATO  --  guazzabuglio trito e disordinato, accozzaglia di idee, parole, espressioni, specialmente in uno scritto, in un discorso e simili il suo ultimo libro è uno zabaione di luoghi comuni | il discorso mi è parso uno zabaione di idee confuse']","['za', 'ba', 'io', 'ne']",zabaióne, /dzabaˈjone/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=zabaione100
zac,"[""riproduce il rumore di un colpo secco dato di taglio, rapido e deciso con un colpo, zac!, tagliò il ramo di netto | prese la scure e, zac!, tagliò il ramo | tutt'a un tratto zac! gli lasciò andare un ceffone | perse la pazienza e zac zac zac, con le forbici gli tagliò i capelli"", 'esprime il verificarsi veloce e inaspettato di un evento improvviso è passato il vigile e, zac!, mi ha dato la multa', 'il rumore stesso']",['zac'],zac," /ˈdzak/, /ˈtsak/","['onomatopea', 'interiezione', 'sostantivo maschile']","['zic zac', 'zic zac', 'zic zac']",https://www.dizionario-italiano.it/dizionario-italiano.php?parola=zac100
zacchera,"[""schizzo di fango rimane attaccato ai vestiti o alle scarpe avere i pantaloni pieni di zacchere | riempirsi il vestito di zacchere | ha un abito pieno di zacchere | hai una zacchera sulla camicetta | è coperto di zacchere | è tutto pieno di zacchere | attraversando la strada mi sono riempito di zacchere | del fango ogniun s'asconde i zaccari [Sannazzaro]"", 'caccola, grumo di fango, di sterco o di altra sporcizia che resta attaccato alla lana nelle parti posteriori delle capre o delle pecore, alle piume degli uccelli, ecc.', ""FIGURATO RARO  --   inezia, cosa da poco, bagatella, minuzia quel ch'io gli ho fatto mi pare una zacchera Pulci"", 'ARCAICO  --  imbroglio, truffa']","['zac', 'che', 'ra']",zàcchera, /ˈtsakkera/,['sostantivo femminile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=zacchera100
zaccherone,"[""chi s'inzacchera frequentemente sei uno zaccherone!"", ""PER ESTENSIONE  --  persona sudicia nei vestiti e trasandata nell'aspetto""]","['zac', 'che', 'ro', 'ne']",zaccheróne, /tsakkeˈrone/,['sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=zaccherone100
zaccheroso,"[""RARO  --  coperto di zacchere, inzaccherato vestito zaccheroso | scarpe zaccherose | calzoni zaccherosi | tutti molli veggendosi e per gli schizzi che i ronzini fanno co' piedi in quantità zaccherosi [Boccaccio]""]","['zac', 'che', 'ro', 'so']",zaccheróso," /tsakkeˈroso/, /tsakkeˈrozo/",['aggettivo'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=zaccheroso100
zacchete,['lo stesso che zac'],"['zac', 'che', 'te']",zàcchete," /ˈdzakkete/, /ˈtsakkete/",['onomatopea e sostantivo maschile'],[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=zacchete100
zaffare,"['ENOLOGIA  --  tappare, turare con uno zaffo zaffare una botte | zaffare il tino | zaffare una falla | zaffare la cannella | zaffare la pompa', 'MARINERIA  --  otturare provvisoriamente con lo zaffo o con qualche mezzo di fortuna una falla zaffare una falla', 'MEDICINA  --  tamponare con uno zaffo zaffare una ferita', 'afferrare, ghermire, acciuffare, trattenere con la violenza; arrestare']","['zaf', 'fa', 're']",zaffàre, /tsafˈfare/,"['verbo transitivo', 'verbo transitivo']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=zaffare100
zaffata,"[""improvvisa ondata di odore acre e sgradevole che sembra togliere il respiro una zaffata di ammoniaca | una zaffata di sudore | c'è del cibo guasto nell'armadio, escono certe zaffate! | dalla stalla vengono certe zaffata! | una zaffata di tanfo | una zaffata di alimenti avariati | una zaffata di profumo da quattro soldi"", ""RARO  --  getto, spruzzo violento di liquido o di gas che investe all'improvviso una zaffata di fumo | una zaffata di acqua | una zaffata di vapore | il tappo saltò via, con una zaffata di vino | dai tubi di scappamento delle automobili escono zaffata di fumo nerastro | una zaffata di aria fredda | una zaffata d'aria calda salì dal vuoto della via, portando un odore di terra e di asfalto [Carlo Levi]"", ""biasimo, zimbrotto violento, rabbuffo, lavata di capo, rimprovero il Piovano … mi dava alquante zaffata per gli sconci che vedeva nel muro, altre ne aggiungeva a conto dell'infame scrittura [Nievo]""]","['zaf', 'fa', 'ta']",zaffàta," /tsafˈfata/, /dzafˈfata/","['sostantivo femminile', 'sostantivo femminile']",[],https://www.dizionario-italiano.it/dizionario-italiano.php?parola=zaffata100
